id,date,time,user_raw,venue_raw,venue_norm,purpose,headcount,amount,per_person,method,year_month,hour,flags
2025-11-3-795232,2025-11-03,15:56:31,부의장,기와집 정육식당,기와집정육식당,지역민원 및 현안 관련 관계자 간담회,7,145000,20714.285714285714,카드,2025-11,15,
2025-11-4-e33753,2025-11-03,15:56:35,부의장,고센 기와집갈비25,고센기와집갈비25,지역민원 및 현안 관련 관계자 간담회,1,22000,22000,카드,2025-11,15,
2025-11-5-802d5e,2025-11-04,12:55:18,복지건설위원장,흥부골숯불돼지갈비,흥부골숯불돼지갈비,현안업무 추진 사무국 직원 격려 간담회,3,94000,31333.333333333332,카드,2025-11,12,
2025-11-6-b7c44e,2025-11-04,13:20:34,의장,나누리 흑염소 전문,나누리흑염소전문,현안업무 추진 사무국 직원 격려 간담회,5,48500,9700,카드,2025-11,13,
2025-11-7-fe4815,2025-11-04,13:24:13,부의장,토담마을,토담마을,지역민원 및 현안 관련 관계자 간담회,10,262000,26200,카드,2025-11,13,
2025-11-8-2664bc,2025-11-05,17:07:58,복지건설위원장,오리명가,오리명가,현안업무 추진 사무국 직원 격려 간담회,8,275000,34375,카드,2025-11,17,
2025-11-9-b94035,2025-11-05,18:59:23,의장,동호일식,동호일식,민원 및 현안 관련 유관단체 관계자 간담회,9,291000,32333.333333333332,카드,2025-11,18,
2025-11-10-4e5422,2025-11-05,19:44:14,행정기획위원장,구알쏭달쏭맛집,구알쏭달쏭맛집,현안 관련 관계자 간담회,14,201000,14357.142857142857,카드,2025-11,19,
2025-11-11-19f671,2025-11-06,18:29:46,의장,제일정육식당,제일정육식당,현안 관련 관계자 간담회,7,174000,24857.14285714286,카드,2025-11,18,
2025-11-12-818f41,2025-11-06,19:29:40,부의장,다미옥함흥냉면,다미옥함흥냉면,의회현안업무 논의에 따른 관계자 간담회,14,331000,23642.85714285714,카드,2025-11,19,
2025-11-13-d14673,2025-11-10,12:04:50,행정기획위원장,산천가든,산천가든,민원 및 현안 관련 유관기관 관계자 간담회,9,135000,15000,카드,2025-11,12,
2025-11-14-dffa24,2025-11-10,12:14:01,복지건설위원장,민속마을,민속마을,현안업무 추진 사무국 직원 격려 간담회,4,124000,31000,카드,2025-11,12,
2025-11-15-3e65f7,2025-11-10,13:49:57,의장,북배산흑염소요리,북배산흑염소요리,현안업무 추진 사무국 직원 격려 간담회,3,80000,26666.666666666668,카드,2025-11,13,
2025-11-16-df52a8,2025-11-10,18:01:03,의장,한방양꼬치 앤 마라,한방양꼬치앤마라,현안 관련 관계자 간담회,15,386000,25733.333333333332,카드,2025-11,18,
2025-11-17-f22978,2025-11-11,12:07:30,복지건설위원장,카페 이티씨.,카페이티씨.,민원 및 현안 관련 관계자 간담회,5,23500,4700,카드,2025-11,12,
2025-11-18-4b5061,2025-11-11,18:08:24,의장,최강낙지,최강낙지,민원 및 현안 관련 관계자 간담회,9,151000,16777.777777777777,카드,2025-11,18,
2025-11-19-ac1d33,2025-11-11,19:57:09,행정기획위원장,주문진,주문진,현안 관련 관계자 간담회,16,340000,21250,카드,2025-11,19,
2025-11-20-2da444,2025-11-11,19:58:26,부의장,란이네먹거리,란이네먹거리,현안 관련 유관기관 관계자 간담회,19,260000,13684.21052631579,카드,2025-11,19,
2025-11-21-a3478b,2025-11-12,12:39:49,의장,나누리 흑염소 전문,나누리흑염소전문,현안 관련 관계자 간담회,7,115000,16428.571428571428,카드,2025-11,12,
2025-11-22-01205d,2025-11-12,19:29:56,복지건설위원장,(주)늘봄처럼,(주)늘봄처럼,민원 및 현안 관련 유관기관 관계자 간담회,10,370000,37000,카드,2025-11,19,
2025-11-23-9a8d58,2025-11-13,12:31:11,의장,장안설렁탕,장안설렁탕,현안업무 추진 사무국 직원 격려 간담회,2,28000,14000,카드,2025-11,12,
2025-11-24-8483f1,2025-11-13,12:32:33,의장,언더그라운드 커피웍,언더그라운드커피웍,지역민원 및 현안 논의에 따른 관계자 간담회,3,8000,2666.6666666666665,카드,2025-11,12,
2025-11-25-15196e,2025-11-13,12:37:36,부의장,포천냉면,포천냉면,민원 및 현안 관련 관계자 간담회,3,36000,12000,카드,2025-11,12,
2025-11-26-8814eb,2025-11-13,19:09:26,부의장,미성,미성,민원 및 현안 관련 관계자 간담회,18,339000,18833.333333333332,카드,2025-11,19,
2025-11-27-09954f,2025-11-13,21:13:11,부의장,허뚱돼지나라,허뚱돼지나라,민원 및 현안 관련 유관기관 관계자 간담회,8,172000,21500,카드,2025-11,21,
2025-11-28-830bcd,2025-11-14,12:32:02,복지건설위원장,마포갈비,마포갈비,현안 관련 유관단체 관계자 간담회,7,244000,34857.142857142855,카드,2025-11,12,
2025-11-29-f7aebf,2025-11-14,13:11:46,행정기획위원장,부산횟집,부산횟집,민원 및 현안 관련 관계자 간담회,8,256000,32000,카드,2025-11,13,
2025-11-30-0b09a5,2025-11-14,19:34:03,의장,종로청진동해장국,종로청진동해장국,민원 및 현안 관련 유관단체 관계자 간담회,12,145000,12083.333333333334,카드,2025-11,19,
2025-11-31-02dd87,2025-11-14,20:11:10,복지건설위원장,동강오리,동강오리,현안 관련 관계자 간담회,5,168000,33600,카드,2025-11,20,
2025-11-32-cdc200,2025-11-17,13:06:07,부의장,샹그라,샹그라,현안 관련 관계자 간담회,15,348000,23200,카드,2025-11,13,
2025-11-33-e62608,2025-11-17,20:17:26,의장,수진궁한식부페,수진궁한식부페,현안 관련 관계자 간담회,8,140000,17500,카드,2025-11,20,
2025-11-34-03733c,2025-11-18,12:20:02,복지건설위원장,경북칼국수,경북칼국수,민원 및 현안 관련 유관기 관계자 간담회,4,51000,12750,카드,2025-11,12,
2025-11-35-2a627c,2025-11-18,12:32:36,행정기획위원장,전골마을,전골마을,민원 및 현안 관련 유관기관 관계자 간담회,2,30000,15000,카드,2025-11,12,
2025-11-36-591c8a,2025-11-18,15:11:17,의장,바나프레소 동대문구,바나프레소동대문구,민원 및 현안 관련 관계자 간담회,4,7200,1800,카드,2025-11,15,
2025-11-37-ba838d,2025-11-18,15:15:21,의장,남원,남원,민원 및 현안 관련 관계자 간담회,8,121000,15125,카드,2025-11,15,
2025-11-38-cc476d,2025-11-18,20:23:11,의장,장어시대,장어시대,민원 및 현안 관련 유관단체 관계자 간담회,10,303000,30300,카드,2025-11,20,
2025-11-39-cbbb44,2025-11-19,12:07:50,행정기획위원장,깡통집,깡통집,현안 관련 관계자 간담회,12,200000,16666.666666666668,카드,2025-11,12,
